Ticker,Date,Open,High,Low,Close,Volume
AAPL,2024-01-01,168.63,173.43,165.63,173.17,74702772
AAPL,2024-01-02,173.65,177.67,171.83,175.69,69226242
AAPL,2024-01-03,176.51,179.57,172.18,177.72,32106765
AAPL,2024-01-04,177.79,179.9,176.17,176.63,23801764
AAPL,2024-01-05,174.91,178.19,173.73,176.69,62359028
AAPL,2024-01-06,177.84,178.82,175.32,177.87,29813177
AAPL,2024-01-07,177.18,178.56,175.61,177.66,32556354
AAPL,2024-01-08,177.53,178.42,177.4,177.83,73659401
AAPL,2024-01-09,177.52,182.5,176.63,181.41,46297376
AAPL,2024-01-10,181.25,186.41,178.18,181.17,51714617
AAPL,2024-01-11,181.69,182.53,180.65,180.7,38494270
AAPL,2024-01-12,181.23,184.09,179.71,183.64,59381758
AAPL,2024-01-13,184.8,187.31,182.15,185.15,16939203
AAPL,2024-01-14,183.58,187.82,178.11,184.57,25420132
AAPL,2024-01-15,185.41,188.47,180.75,182.15,10021869
AAPL,2024-01-16,180.77,185.52,178.98,183.79,76745155
AAPL,2024-01-17,184.4,187.53,182.12,184.0,36277903
AAPL,2024-01-18,185.5,186.29,180.08,180.46,26079045
AAPL,2024-01-19,179.22,180.03,178.16,179.42,50449438
AAPL,2024-01-20,179.77,182.73,178.54,182.73,30350908
AAPL,2024-01-21,183.41,183.42,177.94,178.67,59513438
AAPL,2024-01-22,179.48,180.84,175.93,177.35,26084295
AAPL,2024-01-23,177.0,179.04,174.81,175.63,69903287
AAPL,2024-01-24,175.2,178.66,173.27,174.44,49145056
AAPL,2024-01-25,174.86,178.92,172.96,174.63,70877742
AAPL,2024-01-26,174.82,177.07,172.44,174.18,76266244
AAPL,2024-01-27,173.55,174.48,172.32,172.74,37287465
AAPL,2024-01-28,173.76,174.41,170.73,173.84,43418596
AAPL,2024-01-29,173.05,175.97,168.61,174.3,77160319
AAPL,2024-01-30,173.43,177.92,169.47,169.57,19023771
AAPL,2024-01-31,170.48,171.55,169.03,170.25,62786694
AAPL,2024-02-01,168.57,170.61,165.24,165.24,17030904
AAPL,2024-02-02,165.21,168.94,163.3,163.61,17965324
AAPL,2024-02-03,163.54,167.01,161.25,164.45,27151824
AAPL,2024-02-04,163.67,166.71,158.94,164.71,17396558
AAPL,2024-02-05,163.59,165.87,161.96,162.14,58534803
AAPL,2024-02-06,163.61,165.28,159.18,164.92,34467702
AAPL,2024-02-07,164.6,168.82,159.84,168.21,65582995
AAPL,2024-02-08,167.38,167.61,164.67,167.24,22566254
AAPL,2024-02-09,166.05,167.94,163.34,163.94,51247732
AAPL,2024-02-10,165.22,167.48,163.98,166.01,10258636
AAPL,2024-02-11,166.61,171.24,164.08,164.66,14188627
AAPL,2024-02-12,164.11,168.02,163.15,166.17,13019275
AAPL,2024-02-13,166.37,167.24,164.6,165.34,64779067
AAPL,2024-02-14,163.88,166.28,163.32,164.66,52208792
AAPL,2024-02-15,165.91,169.89,161.67,167.26,12811092
AAPL,2024-02-16,167.05,171.26,163.64,163.68,78569319
AAPL,2024-02-17,164.29,165.52,162.3,164.24,59362097
AAPL,2024-02-18,162.85,165.46,160.74,164.05,68794133
AAPL,2024-02-19,164.13,168.26,163.86,165.4,55015337
AAPL,2024-02-20,164.48,166.82,162.54,165.06,35025587
AAPL,2024-02-21,166.61,170.42,166.4,168.08,16414052
AAPL,2024-02-22,167.63,172.04,164.79,170.85,39232143
AAPL,2024-02-23,170.17,174.35,166.12,168.26,49159644
AAPL,2024-02-24,167.34,169.23,166.05,168.11,69015118
AAPL,2024-02-25,168.65,173.35,167.3,171.28,61652466
AAPL,2024-02-26,172.43,173.86,170.75,172.06,25639762
AAPL,2024-02-27,172.49,173.87,169.45,172.32,40123378
AAPL,2024-02-28,172.38,177.11,168.25,168.44,66548960
AAPL,2024-02-29,168.39,172.48,166.11,168.38,34013974
AAPL,2024-03-01,169.36,170.32,166.14,169.02,27381500
AAPL,2024-03-02,168.56,171.28,164.55,168.71,33680795
AAPL,2024-03-03,167.89,171.23,167.73,169.68,37380769
AAPL,2024-03-04,170.67,171.89,169.77,170.59,65008294
AAPL,2024-03-05,170.73,171.26,167.87,170.23,14663731
AAPL,2024-03-06,170.22,170.32,167.9,168.52,53864762
AAPL,2024-03-07,170.01,171.2,169.13,170.24,78068611
AAPL,2024-03-08,171.01,175.54,167.67,170.61,78309868
AAPL,2024-03-09,170.83,170.93,168.66,170.4,14408621
AAPL,2024-03-10,170.7,171.01,169.44,170.99,27977759
AAPL,2024-03-11,172.24,172.38,169.56,170.93,75511431
AAPL,2024-03-12,169.54,174.06,167.72,169.76,53400782
AAPL,2024-03-13,170.41,172.7,169.9,172.48,27694617
AAPL,2024-03-14,173.87,174.75,172.46,173.51,78408932
AAPL,2024-03-15,174.73,178.62,169.5,177.0,33695177
AAPL,2024-03-16,176.95,181.62,174.32,180.12,45089186
AAPL,2024-03-17,181.9,184.46,179.02,181.62,55348866
AAPL,2024-03-18,181.34,184.8,180.1,180.98,36004380
AAPL,2024-03-19,181.57,183.22,179.56,182.93,48873418
AAPL,2024-03-20,181.12,186.2,178.54,182.53,31783011
AAPL,2024-03-21,183.6,185.08,179.23,179.84,46696687
AAPL,2024-03-22,178.82,182.39,175.32,177.75,63155340
AAPL,2024-03-23,178.15,182.91,173.08,173.91,31444879
AAPL,2024-03-24,174.19,176.48,171.54,173.26,39196678
AAPL,2024-03-25,173.92,178.96,168.87,169.24,33265978
AAPL,2024-03-26,170.92,171.74,170.81,171.29,62177969
AAPL,2024-03-27,171.06,173.58,167.03,172.87,42241162
AAPL,2024-03-28,174.34,176.82,172.61,173.41,18121514
AAPL,2024-03-29,173.47,175.0,172.23,174.05,66075261
AAPL,2024-03-30,174.32,178.64,171.67,178.12,48678748
AAPL,2024-03-31,178.74,179.42,174.12,178.92,64281961
AAPL,2024-04-01,180.38,180.61,177.35,178.34,22169174
AAPL,2024-04-02,177.58,179.19,173.51,177.89,10512140
AAPL,2024-04-03,177.67,182.04,172.96,176.35,66505894
AAPL,2024-04-04,177.39,179.78,175.57,175.71,27702432
AAPL,2024-04-05,177.04,181.89,176.5,181.2,55716736
AAPL,2024-04-06,179.91,184.58,177.56,177.87,72308848
AAPL,2024-04-07,176.7,180.56,172.33,177.97,16125587
AAPL,2024-04-08,177.47,178.52,175.42,177.29,70022897
AAPL,2024-04-09,175.63,178.12,173.87,175.26,10457660
AAPL,2024-04-10,175.02,176.05,171.57,174.44,77598633
AAPL,2024-04-11,175.62,177.59,171.37,171.95,25972461
AAPL,2024-04-12,170.71,173.2,165.94,166.27,40831373
AAPL,2024-04-13,166.13,166.28,162.17,163.79,28966522
AAPL,2024-04-14,163.37,164.54,161.99,164.03,33134742
AAPL,2024-04-15,164.34,166.99,160.99,165.37,75424695
AAPL,2024-04-16,166.55,168.19,163.03,167.45,72429166
AAPL,2024-04-17,168.69,173.49,167.85,172.51,33060881
AAPL,2024-04-18,170.85,173.25,167.02,172.63,79817562
AAPL,2024-04-19,172.52,174.6,171.69,173.35,20074592
AAPL,2024-04-20,173.82,178.74,172.47,175.52,61187950
AAPL,2024-04-21,176.57,181.59,171.33,175.07,71696166
AAPL,2024-04-22,175.78,177.72,172.96,177.58,67554026
AAPL,2024-04-23,178.72,183.13,177.08,179.24,64026476
AAPL,2024-04-24,177.84,181.62,174.64,177.41,28043511
AAPL,2024-04-25,176.01,180.5,172.84,175.75,65259095
AAPL,2024-04-26,174.8,177.05,170.44,176.19,37112887
AAPL,2024-04-27,176.73,178.89,176.44,176.63,10564338
AAPL,2024-04-28,177.37,179.85,176.53,178.4,70043925
AAPL,2024-04-29,179.08,179.7,176.36,178.19,54494169
AAPL,2024-04-30,179.06,182.48,173.84,175.37,51648106
AAPL,2024-05-01,174.29,177.31,174.01,177.0,54496786
AAPL,2024-05-02,175.85,179.76,171.91,177.14,60156910
AAPL,2024-05-03,178.82,180.98,174.01,178.4,44056986
AAPL,2024-05-04,178.18,181.8,177.0,179.98,61593959
AAPL,2024-05-05,180.7,185.27,177.14,184.4,61479097
AAPL,2024-05-06,186.06,191.36,184.29,184.93,28537963
AAPL,2024-05-07,184.49,186.62,182.86,185.78,63921009
AAPL,2024-05-08,185.0,186.03,184.35,185.97,73347549
AAPL,2024-05-09,186.75,186.99,186.27,186.41,44676453
AAPL,2024-05-10,185.6,189.38,181.66,183.01,58645614
AAPL,2024-05-11,184.22,187.74,179.81,182.14,58968095
AAPL,2024-05-12,182.3,182.32,179.94,181.54,52669189
AAPL,2024-05-13,180.51,184.61,180.29,182.35,40363589
AAPL,2024-05-14,180.94,183.87,180.87,182.42,48479228
AAPL,2024-05-15,182.51,187.2,179.56,183.39,69042901
AAPL,2024-05-16,182.71,183.91,178.38,183.88,22403038
AAPL,2024-05-17,184.25,189.09,184.07,184.48,33292963
AAPL,2024-05-18,183.48,186.63,180.44,180.76,38633370
AAPL,2024-05-19,180.82,185.89,175.57,184.52,60884413
AAPL,2024-05-20,185.81,187.2,183.02,186.24,10719389
AAPL,2024-05-21,185.38,186.63,183.51,185.81,73213214
AAPL,2024-05-22,185.56,187.93,183.37,185.52,23113481
AAPL,2024-05-23,185.85,188.14,183.38,184.13,13084912
AAPL,2024-05-24,184.47,186.05,179.36,180.99,75256217
AAPL,2024-05-25,179.74,182.09,174.68,178.92,74098628
AAPL,2024-05-26,180.66,183.01,178.13,178.43,63662259
AAPL,2024-05-27,177.73,177.78,174.9,175.37,63770111
AAPL,2024-05-28,175.03,177.77,170.08,177.51,39571021
AAPL,2024-05-29,176.87,178.57,175.02,175.95,61277280
AAPL,2024-05-30,175.05,176.49,172.34,175.15,51961666
AAPL,2024-05-31,175.74,178.19,170.94,171.6,27680160
AAPL,2024-06-01,170.41,172.75,168.48,171.73,12089979
AAPL,2024-06-02,171.22,172.42,168.75,169.11,52573540
AAPL,2024-06-03,169.44,170.59,167.08,167.54,71080196
AAPL,2024-06-04,168.46,169.8,165.64,166.87,25485035
AAPL,2024-06-05,165.22,167.92,164.21,165.02,14135757
AAPL,2024-06-06,163.98,167.51,162.01,166.8,14741066
AAPL,2024-06-07,165.9,169.13,163.17,164.13,31249313
AAPL,2024-06-08,165.51,168.63,161.26,168.09,35676846
AAPL,2024-06-09,169.24,169.92,167.3,169.45,62017000
AAPL,2024-06-10,170.5,172.41,168.07,170.28,69749596
AAPL,2024-06-11,169.93,171.31,169.86,170.9,56276668
AAPL,2024-06-12,172.13,175.28,171.57,171.73,22432237
AAPL,2024-06-13,171.58,175.26,167.89,168.71,59453399
AAPL,2024-06-14,170.34,173.38,169.43,172.51,54004557
AAPL,2024-06-15,173.67,178.48,168.89,169.69,48781972
AAPL,2024-06-16,170.88,171.91,170.42,170.52,33560681
AAPL,2024-06-17,170.16,175.0,166.86,168.77,47720995
AAPL,2024-06-18,168.65,169.32,166.22,167.81,30003648
AAPL,2024-06-19,167.83,171.42,166.1,167.7,65683073
AAPL,2024-06-20,168.11,170.61,167.08,169.36,51090922
AAPL,2024-06-21,168.6,171.09,166.57,168.34,64016329
AAPL,2024-06-22,167.78,170.63,162.91,164.37,61714443
AAPL,2024-06-23,163.64,166.8,160.34,165.83,78392491
AAPL,2024-06-24,164.46,165.36,160.23,164.8,68620640
AAPL,2024-06-25,166.17,168.48,163.64,168.16,13467282
AAPL,2024-06-26,168.67,173.1,164.99,166.6,45770428
AAPL,2024-06-27,166.33,170.32,166.12,166.38,62053955
AAPL,2024-06-28,167.45,168.3,163.13,165.66,16235103
AAPL,2024-06-29,164.5,167.56,161.33,164.34,47951284
AAPL,2024-06-30,164.03,164.91,162.62,162.89,16954488
AAPL,2024-07-01,164.49,164.81,163.19,163.67,51215507
AAPL,2024-07-02,162.74,166.8,160.38,160.89,22846102
AAPL,2024-07-03,161.07,161.63,159.17,160.03,62926648
AAPL,2024-07-04,160.85,162.39,160.6,161.95,54387068
AAPL,2024-07-05,163.4,163.42,160.49,162.94,13547123
AAPL,2024-07-06,161.63,165.97,160.3,160.99,33300511
AAPL,2024-07-07,161.01,165.2,158.02,162.46,48313502
AAPL,2024-07-08,162.37,165.94,161.48,163.09,25472262
AAPL,2024-07-09,164.61,168.6,163.32,166.91,67815922
AAPL,2024-07-10,165.7,168.2,162.64,165.15,49711841
AAPL,2024-07-11,164.06,167.15,160.96,166.1,76043403
AAPL,2024-07-12,166.44,169.64,163.06,168.77,78538269
AAPL,2024-07-13,167.47,170.47,165.51,165.89,62268421
AAPL,2024-07-14,166.11,170.86,161.44,166.78,40326547
AAPL,2024-07-15,165.2,168.44,163.8,164.43,20744508
AAPL,2024-07-16,165.21,169.09,162.56,163.31,40397608
AAPL,2024-07-17,162.8,165.11,158.5,165.02,50148804
AAPL,2024-07-18,164.0,165.03,162.33,163.72,56771031
AAPL,2024-07-19,163.45,164.09,161.31,161.81,64418162
AAPL,2024-07-20,161.73,163.27,158.49,161.02,47933610
AAPL,2024-07-21,162.62,165.87,162.52,163.76,30195217
AAPL,2024-07-22,164.87,168.23,161.06,163.9,53354599
AAPL,2024-07-23,165.47,165.88,162.59,162.78,64176308
AAPL,2024-07-24,163.05,165.18,162.68,164.18,46189479
AAPL,2024-07-25,162.6,166.18,157.86,158.4,29409173
AAPL,2024-07-26,157.01,157.61,155.54,155.62,24819302
AAPL,2024-07-27,154.79,158.05,153.31,154.3,77435263
AAPL,2024-07-28,155.34,156.67,153.45,154.46,43341352
AAPL,2024-07-29,153.32,155.44,149.19,153.05,14474782
AAPL,2024-07-30,152.26,154.07,151.5,153.42,30000260
AAPL,2024-07-31,154.63,158.98,152.18,157.4,16560003
AAPL,2024-08-01,158.96,159.36,158.86,159.01,36039058
AAPL,2024-08-02,159.44,163.03,156.86,163.01,48004716
AAPL,2024-08-03,162.37,166.47,162.12,164.19,58365721
AAPL,2024-08-04,164.07,167.45,161.61,165.06,51403549
AAPL,2024-08-05,165.33,168.59,163.8,166.33,65274365
AAPL,2024-08-06,166.9,167.63,163.67,163.99,62763627
AAPL,2024-08-07,163.0,165.34,162.95,165.16,64485906
AAPL,2024-08-08,163.94,167.18,162.75,164.32,31416350
AAPL,2024-08-09,163.58,164.93,159.0,164.63,56356049
AAPL,2024-08-10,166.1,169.26,162.32,165.01,25509342
AAPL,2024-08-11,163.46,165.78,162.04,163.57,71047997
AAPL,2024-08-12,162.25,164.9,160.99,161.53,44586207
AAPL,2024-08-13,163.15,163.46,161.26,161.54,71655262
AAPL,2024-08-14,160.75,164.2,158.67,163.14,51872051
AAPL,2024-08-15,163.69,168.28,159.79,165.8,19830801
AAPL,2024-08-16,165.54,167.05,162.95,166.33,48848407
AAPL,2024-08-17,166.56,167.59,165.55,166.11,40041136
AAPL,2024-08-18,166.03,169.49,163.09,168.77,22410931
AAPL,2024-08-19,170.14,173.88,165.68,170.02,64610862
AAPL,2024-08-20,171.5,172.79,168.41,169.74,24289929
AAPL,2024-08-21,168.38,171.76,167.16,170.43,20146359
AAPL,2024-08-22,170.05,171.98,167.86,171.43,46002335
AAPL,2024-08-23,171.28,174.86,167.04,169.81,21474068
AAPL,2024-08-24,169.35,174.39,168.34,173.17,49351936
AAPL,2024-08-25,173.3,178.28,171.05,172.44,59058634
AAPL,2024-08-26,173.74,175.71,168.91,170.3,36684267
AAPL,2024-08-27,170.92,171.04,170.15,170.92,61825327
AAPL,2024-08-28,170.13,170.24,169.95,170.04,23997296
AAPL,2024-08-29,169.03,173.54,166.98,173.47,59285403
AAPL,2024-08-30,172.86,177.82,169.29,173.1,63593317
AAPL,2024-08-31,172.33,174.33,171.11,171.25,57679222
AAPL,2024-09-01,172.32,173.25,169.37,171.67,35427707
AAPL,2024-09-02,170.11,174.57,169.39,174.36,35802479
AAPL,2024-09-03,173.32,173.79,169.08,172.6,12087706
AAPL,2024-09-04,173.44,178.03,169.47,176.7,29445383
AAPL,2024-09-05,178.1,178.67,174.01,177.84,40551333
AAPL,2024-09-06,176.67,180.55,176.55,179.08,74295954
AAPL,2024-09-07,179.1,182.89,176.84,179.78,69295554
AAPL,2024-09-08,181.55,182.54,178.05,181.02,24027747
AAPL,2024-09-09,182.6,184.75,178.21,178.8,49935164
AAPL,2024-09-10,179.32,183.47,176.15,181.14,56774063
AAPL,2024-09-11,182.42,186.18,177.05,182.95,48490406
AAPL,2024-09-12,183.15,184.39,179.66,181.24,38443891
AAPL,2024-09-13,182.91,186.48,179.28,181.97,62511476
AAPL,2024-09-14,181.48,181.62,179.69,180.88,52279041
AAPL,2024-09-15,182.47,185.77,178.24,180.9,15173280
AAPL,2024-09-16,182.62,184.21,177.7,182.21,48876667
AAPL,2024-09-17,183.93,187.09,183.24,184.56,36594146
AAPL,2024-09-18,185.54,186.95,183.38,184.92,16591630
AAPL,2024-09-19,183.37,187.81,180.21,183.93,15205230
AAPL,2024-09-20,182.95,183.32,181.02,182.94,32416868
AAPL,2024-09-21,183.36,183.59,183.16,183.45,57377559
AAPL,2024-09-22,185.27,185.39,180.3,181.76,56958217
AAPL,2024-09-23,180.95,181.63,178.36,181.62,34495783
AAPL,2024-09-24,180.89,181.96,175.47,176.88,43266748
AAPL,2024-09-25,175.86,176.7,174.63,176.67,76240575
AAPL,2024-09-26,178.4,183.03,176.94,178.08,39419141
AAPL,2024-09-27,178.74,180.11,177.59,180.05,64694548
AAPL,2024-09-28,178.32,182.74,174.73,175.14,21142533
AAPL,2024-09-29,175.29,177.61,170.96,176.93,48187251
AAPL,2024-09-30,178.68,178.8,173.39,173.63,25331542
AAPL,2024-10-01,174.3,177.07,170.38,172.18,10843607
AAPL,2024-10-02,172.3,174.02,168.0,173.52,15060990
AAPL,2024-10-03,175.16,180.24,171.34,173.11,17237938
AAPL,2024-10-04,174.33,178.03,171.52,172.35,28231762
AAPL,2024-10-05,171.2,174.23,167.16,167.6,32969308
AAPL,2024-10-06,167.16,171.07,162.74,163.81,68488157
AAPL,2024-10-07,165.19,169.91,163.78,165.11,20857854
AAPL,2024-10-08,164.08,168.0,162.43,167.77,43050975
AAPL,2024-10-09,168.44,173.4,166.8,167.9,11191607
AAPL,2024-10-10,168.26,171.87,166.68,170.24,40139220
